Local time,Open,High,Low,Close,Volume
2020-01-02,1519.425,1540.968,1518.395,1538.715,49948575.1093
2020-01-03,1538.698,1553.515,1538.288,1551.515,63271261.0962
2020-01-06,1576.025,1579.278,1555.248,1559.165,64913773.0299
2020-01-07,1559.168,1611.325,1558.965,1593.105,92783461.3324
2020-01-08,1593.075,1595.338,1552.178,1558.325,86883889.7943
2020-01-09,1558.325,1558.905,1540.105,1547.035,53422326.7437
2020-01-10,1547.025,1563.008,1546.185,1561.785,45402384.9962
2020-01-13,1555.645,1556.365,1535.828,1538.875,50524752.9744
2020-01-14,1538.875,1552.825,1536.058,1551.965,62398579.2994
2020-01-15,1551.945,1558.148,1546.888,1555.735,64629083.3952
2020-01-16,1555.715,1557.415,1547.975,1555.588,45845895.0222
2020-01-17,1555.588,1561.155,1554.005,1556.945,34347874.4626
2020-01-21,1566.458,1567.148,1546.238,1552.935,65426973.2832
2020-01-22,1552.925,1563.675,1550.408,1558.795,48693980.4257
2020-01-23,1558.805,1567.848,1551.798,1559.675,51808886.1705
2020-01-24,1559.665,1575.785,1556.455,1571.455,61637475.133
2020-01-27,1579.028,1586.198,1575.798,1579.555,73419889.8675
2020-01-28,1579.595,1582.218,1563.335,1565.385,58831909.2394
2020-01-29,1565.365,1580.765,1564.798,1578.938,63366519.6299
2020-01-30,1579.028,1585.888,1570.905,1571.655,76028083.0264
2020-01-31,1571.635,1590.528,1571.505,1589.325,77116697.2519
2020-02-03,1580.845,1581.175,1569.188,1575.105,49744696.7957
2020-02-04,1575.105,1575.705,1548.965,1557.155,50810492.1879
2020-02-05,1557.128,1562.368,1547.425,1553.068,47743425.25
2020-02-06,1553.078,1569.065,1552.385,1565.688,53759390.1458
2020-02-07,1565.678,1574.008,1559.875,1570.198,69659544.766
2020-02-10,1572.058,1576.928,1566.838,1568.705,44901565.9988
2020-02-11,1568.705,1573.978,1561.925,1567.135,56232030.1084
2020-02-12,1567.138,1574.228,1561.728,1573.708,50446164.8464
2020-02-13,1573.708,1578.248,1571.788,1574.595,59734619.6473
2020-02-14,1574.595,1584.948,1573.835,1583.648,37686949.9087
2020-02-18,1586.348,1605.018,1584.968,1601.805,61125560.2242
2020-02-19,1601.805,1612.888,1601.535,1609.465,59033360.7195
2020-02-20,1609.455,1626.475,1603.785,1625.995,60917308.062
2020-02-21,1625.995,1649.165,1625.575,1643.148,72369080.0667
2020-02-24,1662.315,1689.255,1642.755,1655.535,120135278.1059
2020-02-25,1655.535,1658.375,1624.898,1641.465,143218138.5756
2020-02-26,1641.445,1654.895,1624.785,1652.258,125159202.5758
2020-02-27,1652.268,1660.368,1634.745,1638.795,194523175.9547
2020-02-28,1638.728,1642.278,1562.848,1585.435,124043447.0175
2020-03-02,1600.308,1610.958,1583.845,1600.058,201825285.1965
2020-03-03,1600.048,1652.548,1593.438,1643.018,199712960.6008
2020-03-04,1643.018,1649.265,1631.798,1639.648,165432864.1891
2020-03-05,1639.648,1679.158,1637.078,1678.358,155071236.1336
2020-03-06,1678.315,1692.088,1642.128,1673.548,151207984.805
2020-03-09,1681.345,1685.718,1657.308,1666.585,131119467.616
2020-03-10,1666.575,1668.175,1641.495,1658.785,115173969.7456
2020-03-11,1658.815,1671.158,1630.708,1636.898,115479408.0257
2020-03-12,1636.875,1645.448,1551.265,1559.975,119993241.5484
2020-03-13,1559.985,1597.825,1504.398,1529.348,119352144.4794
2020-03-16,1547.925,1550.755,1451.148,1500.768,113239871.5018
2020-03-17,1500.718,1553.808,1465.468,1532.278,120081833.7204
2020-03-18,1532.268,1532.905,1464.898,1469.278,117182420.969
2020-03-19,1469.188,1496.058,1454.898,1483.678,83869800.21
2020-03-20,1483.678,1516.045,1479.175,1498.698,64229356.5274
2020-03-23,1493.385,1584.328,1484.978,1571.548,79035259.5449
2020-03-24,1571.428,1639.18,1557.015,1614.798,48110557.9138
2020-03-25,1614.798,1626.925,1594.682,1605.035,43873389.1846
2020-03-26,1605.065,1645.052,1595.748,1624.998,32888823.986
2020-03-27,1625.048,1631.098,1612.838,1626.148,32682690.9187
2020-03-30,1617.078,1627.188,1610.825,1613.925,44073196.6197
2020-03-31,1613.955,1619.448,1567.468,1584.328,43892437.935
2020-04-01,1584.328,1599.988,1571.765,1585.288,52668546.7959
2020-04-02,1585.288,1619.94,1582.818,1613.098,48865260.2436
2020-04-03,1613.088,1625.498,1605.625,1617.048,37528535.7831
2020-04-06,1617.158,1674.828,1615.738,1659.578,50704805.1953
2020-04-07,1659.498,1668.598,1640.398,1648.238,61654760.6289
2020-04-08,1648.248,1656.288,1642.0,1648.658,38371597.2302
2020-04-09,1648.638,1689.948,1646.435,1682.148,42344855.5471
2020-04-10,1682.148,1682.148,1682.148,1682.148,0.0
2020-04-13,1682.185,1725.548,1681.478,1720.108,46743749.201
2020-04-14,1720.158,1747.625,1708.735,1720.698,64611628.2345
2020-04-15,1720.698,1727.538,1707.518,1714.308,52694299.3106
2020-04-16,1714.368,1738.648,1701.58,1705.148,64044927.1201
2020-04-17,1705.148,1708.768,1679.125,1681.998,57956963.0624
2020-04-20,1681.408,1702.138,1673.138,1688.808,52897623.6282
2020-04-21,1688.688,1697.796,1659.298,1682.898,63623366.6538
2020-04-22,1682.898,1719.648,1679.908,1710.048,66203356.0278
2020-04-23,1710.158,1738.558,1709.568,1723.418,62219750.9707
2020-04-24,1723.498,1736.208,1710.508,1727.698,56554047.2267
2020-04-27,1721.665,1723.668,1695.635,1698.178,74475761.3538
2020-04-28,1698.178,1714.568,1691.678,1710.068,76422551.4831
2020-04-29,1710.098,1717.398,1697.805,1712.458,65891838.491
2020-04-30,1712.458,1721.598,1681.068,1688.073,68345308.0058
2020-05-01,1688.075,1705.068,1670.418,1698.818,75964082.3903
2020-05-04,1699.938,1713.228,1696.338,1698.198,46950266.1825
2020-05-05,1698.198,1711.568,1689.788,1702.315,49663304.627
2020-05-06,1702.285,1708.071,1681.308,1691.688,51789380.4314
2020-05-07,1691.688,1721.888,1684.178,1715.448,58198148.1908
2020-05-08,1715.438,1723.148,1700.545,1701.408,58239247.2029
2020-05-11,1707.758,1709.358,1691.825,1700.375,66040082.3653
2020-05-12,1700.375,1710.698,1698.3,1702.808,61624889.1354
2020-05-13,1702.818,1719.568,1699.348,1713.428,71676472.0085
2020-05-14,1713.558,1736.348,1710.828,1732.058,66258695.6619
2020-05-15,1731.868,1751.398,1729.968,1741.628,69023330.6884
2020-05-18,1760.868,1765.018,1727.458,1736.668,77697827.101
2020-05-19,1736.638,1751.015,1726.205,1749.188,86023236.4534
2020-05-20,1749.188,1753.735,1737.605,1741.338,78974285.841
2020-05-21,1741.338,1743.665,1717.155,1727.375,73651337.4746
2020-05-22,1727.385,1739.955,1725.688,1733.648,50838459.6704
2020-05-26,1734.768,1735.028,1707.438,1708.428,68273516.655
2020-05-27,1708.498,1715.255,1693.598,1714.308,65372144.8182
2020-05-28,1714.358,1727.428,1710.858,1719.908,65613654.1368
2020-05-29,1719.915,1737.773,1716.658,1728.695,55926483.8098
2020-06-01,1739.028,1744.525,1727.553,1739.268,63355099.38
2020-06-02,1739.268,1745.008,1720.455,1725.098,68362854.8385
2020-06-03,1725.098,1726.548,1689.245,1702.938,80118689.7756
2020-06-04,1702.938,1721.863,1697.885,1708.448,68656260.0732
2020-06-05,1708.418,1713.248,1670.745,1684.758,77930439.2338
2020-06-08,1688.215,1704.626,1686.128,1695.255,67748968.0052
2020-06-09,1695.245,1720.668,1692.025,1715.055,72290112.2569
2020-06-10,1715.035,1739.798,1707.695,1731.405,66886667.4303
2020-06-11,1731.445,1744.575,1721.445,1726.045,75061530.292
2020-06-12,1726.045,1742.948,1725.985,1729.728,60315480.59
2020-06-15,1729.108,1732.725,1704.025,1728.515,80778680.4434
2020-06-16,1728.485,1732.748,1716.535,1726.325,76395199.299
2020-06-17,1726.305,1730.258,1712.548,1725.858,61102505.5053
2020-06-18,1725.878,1737.438,1717.435,1725.778,58909964.502
2020-06-19,1725.795,1745.168,1725.615,1743.268,54408066.7493
2020-06-22,1752.318,1763.058,1742.598,1751.388,84079563.379
2020-06-23,1751.388,1773.498,1747.295,1767.768,73205332.6366
2020-06-24,1767.768,1779.388,1753.548,1763.695,80350711.8821
2020-06-25,1763.685,1768.785,1755.258,1760.638,62913853.9729
2020-06-26,1760.638,1771.948,1747.368,1770.898,66159879.5653
2020-06-29,1772.458,1774.855,1765.538,1770.598,52215685.159
2020-06-30,1770.475,1785.85,1764.425,1783.728,61014809.3105
2020-07-01,1783.688,1789.008,1758.948,1768.785,65472887.9333
2020-07-02,1768.825,1779.425,1757.438,1775.508,55683885.0975
2020-07-06,1772.048,1787.038,1771.365,1784.425,52786042.0048
2020-07-07,1784.375,1797.358,1773.398,1794.245,63340684.9503
2020-07-08,1794.245,1817.848,1792.368,1809.295,58208338.8268
2020-07-09,1809.295,1815.855,1795.258,1801.155,61263309.5684
2020-07-10,1801.165,1810.496,1793.935,1798.088,44733978.3907
2020-07-13,1803.158,1813.198,1795.738,1797.548,56787416.9053
2020-07-14,1797.668,1811.108,1790.418,1808.875,59507099.2708
2020-07-15,1808.865,1814.916,1802.228,1809.718,56518067.2407
2020-07-16,1809.618,1811.335,1794.788,1798.965,54783191.3233
2020-07-17,1798.965,1811.878,1798.088,1809.248,32916823.0296
2020-07-20,1807.655,1820.438,1807.225,1819.648,51861380.3981
2020-07-21,1819.615,1865.738,1817.078,1857.048,77115345.2991
2020-07-22,1856.988,1876.415,1846.235,1868.385,85193875.0743
2020-07-23,1868.405,1898.228,1867.655,1889.798,97848760.903
2020-07-24,1889.768,1906.458,1882.275,1901.098,62856117.2484
2020-07-27,1931.748,1980.98,1929.718,1943.548,123935513.9732
2020-07-28,1943.328,1963.928,1906.645,1952.848,95824115.3955
2020-07-29,1952.848,1980.798,1941.328,1964.945,77670645.1178
2020-07-30,1964.885,1971.458,1939.245,1969.265,95354957.9979
2020-07-31,1969.205,1984.218,1959.718,1975.568,74872087.0019
2020-08-03,1973.698,1978.488,1960.378,1973.845,66488043.785
2020-08-04,1973.855,2030.815,1966.725,2013.085,82716722.25
2020-08-05,2013.055,2055.648,2011.448,2042.985,90979746.1035
2020-08-06,2042.958,2074.798,2041.043,2056.418,93558404.207
2020-08-07,2056.698,2064.485,2015.385,2034.298,100805954.0987
2020-08-10,2029.388,2049.748,2014.605,2020.235,85389054.8946
2020-08-11,2020.225,2021.365,1872.478,1885.078,131210335.4929
2020-08-12,1885.048,1949.548,1862.318,1935.208,122404230.8329
2020-08-13,1935.208,1966.165,1920.008,1948.648,103104042.0533
2020-08-14,1948.788,1956.818,1932.025,1943.998,78252408.1468
2020-08-17,1941.128,1995.828,1940.898,1990.755,88810286.16420001
2020-08-18,1990.785,2015.498,1975.898,1993.935,95935110.9269
2020-08-19,1993.955,1998.025,1924.528,1949.475,111552565.6937
2020-08-20,1949.485,1955.765,1924.688,1949.745,101924664.4974
2020-08-21,1949.745,1951.535,1911.238,1939.618,87621747.7322
2020-08-24,1931.655,1961.788,1923.608,1936.068,82713085.3533
2020-08-25,1936.068,1937.165,1914.105,1925.538,78763044.7147
2020-08-26,1925.538,1954.918,1902.678,1942.548,84655295.0142
2020-08-27,1942.628,1976.578,1909.778,1940.688,92329366.5051
2020-08-28,1940.688,1973.718,1938.778,1964.428,78981869.1613
2020-08-31,1970.075,1989.415,1954.125,1983.985,78276144.5645
2020-09-01,1983.975,1992.298,1958.678,1964.755,84616319.2986
2020-09-02,1964.755,1971.768,1932.428,1945.625,86742302.8945
2020-09-03,1945.635,1946.398,1921.658,1936.428,93582080.0065
2020-09-04,1936.408,1947.655,1916.198,1933.298,71380754.6498
2020-09-08,1923.655,1940.748,1906.428,1930.085,66314365.6255
2020-09-09,1930.085,1950.775,1919.935,1946.605,49179585.0992
2020-09-10,1946.595,1966.398,1937.008,1940.435,65112954.4378
2020-09-11,1940.488,1954.658,1937.598,1938.928,53898054.7788
2020-09-14,1949.035,1966.958,1939.878,1964.578,52270789.3549
2020-09-15,1964.608,1972.028,1948.278,1959.308,55258374.7804
2020-09-16,1959.308,1973.468,1937.578,1939.478,70643917.7391
