Category: All categories

Day,gold: (United States)
2018-06-01,73
2018-06-02,81
2018-06-03,84
2018-06-04,72
2018-06-05,70
2018-06-06,71
2018-06-07,71
2018-06-08,68
2018-06-09,71
2018-06-10,74
2018-06-11,73
2018-06-12,72
2018-06-13,73
2018-06-14,73
2018-06-15,68
2018-06-16,77
2018-06-17,72
2018-06-18,71
2018-06-19,67
2018-06-20,71
2018-06-21,67
2018-06-22,69
2018-06-23,73
2018-06-24,77
2018-06-25,75
2018-06-26,72
2018-06-27,72
2018-06-28,72
2018-06-29,72
2018-06-30,70
2018-07-01,74
2018-07-02,65
2018-07-03,71
2018-07-04,71
2018-07-05,69
2018-07-06,67
2018-07-07,75
2018-07-08,78
2018-07-09,71
2018-07-10,70
2018-07-11,70
2018-07-12,69
2018-07-13,71
2018-07-14,76
2018-07-15,78
2018-07-16,71
2018-07-17,80
2018-07-18,75
2018-07-19,75
2018-07-20,75
2018-07-21,78
2018-07-22,100
2018-07-23,78
2018-07-24,82
2018-07-25,80
2018-07-26,73
2018-07-27,75
2018-07-28,78
2018-07-29,80
2018-07-30,77
2018-07-31,75
2018-08-01,76
2018-08-02,73
2018-08-03,71
2018-08-04,82
2018-08-05,79
2018-08-06,74
2018-08-07,73
2018-08-08,72
2018-08-09,69
2018-08-10,71
2018-08-11,79
2018-08-12,85
2018-08-13,72
2018-08-14,75
2018-08-15,75
2018-08-16,80
2018-08-17,77
2018-08-18,81
2018-08-19,80
2018-08-20,75
2018-08-21,68
2018-08-22,71
2018-08-23,70
2018-08-24,69
2018-08-25,77
2018-08-26,77
2018-08-27,74
2018-08-28,71
2018-08-29,68
2018-08-30,67
2018-08-31,69
2018-09-01,76
2018-09-02,76
2018-09-03,75
2018-09-04,67
2018-09-05,69
2018-09-06,68
2018-09-07,67
2018-09-08,71
2018-09-09,71
2018-09-10,67
2018-09-11,65
2018-09-12,64
2018-09-13,70
2018-09-14,66
2018-09-15,78
2018-09-16,73
2018-09-17,69
2018-09-18,70
2018-09-19,69
2018-09-20,70
2018-09-21,71
2018-09-22,84
2018-09-23,77
2018-09-24,71
2018-09-25,67
2018-09-26,73
2018-09-27,68
2018-09-28,65
2018-09-29,75
2018-09-30,74
2018-10-01,69
2018-10-02,69
2018-10-03,66
2018-10-04,68
2018-10-05,72
2018-10-06,75
2018-10-07,72
2018-10-08,68
2018-10-09,71
2018-10-10,72
2018-10-11,73
2018-10-12,72
2018-10-13,77
2018-10-14,73
2018-10-15,72
2018-10-16,70
2018-10-17,66
2018-10-18,68
2018-10-19,71
2018-10-20,73
2018-10-21,73
2018-10-22,68
2018-10-23,65
2018-10-24,66
2018-10-25,70
2018-10-26,71
2018-10-27,72
2018-10-28,74
2018-10-29,74
2018-10-30,71
2018-10-31,67
2018-11-01,67
2018-11-02,74
2018-11-03,81
2018-11-04,80
2018-11-05,81
2018-11-06,69
2018-11-07,65
2018-11-08,71
2018-11-09,73
2018-11-10,80
2018-11-11,85
2018-11-12,72
2018-11-13,72
2018-11-14,74
2018-11-15,74
2018-11-16,72
2018-11-17,83
2018-11-18,84
2018-11-19,79
2018-11-20,78
2018-11-21,76
2018-11-22,77
2018-11-23,92
2018-11-24,95
2018-11-25,89
2018-11-26,80
2018-11-27,88
2018-11-28,73
2018-11-29,79
2018-11-30,78
2018-12-01,83
2018-12-02,84
2018-12-03,80
2018-12-04,80
2018-12-05,78
2018-12-06,77
2018-12-07,82
2018-12-08,89
2018-12-09,90
2018-12-10,80
2018-12-11,79
2018-12-12,80
2018-12-13,80
2018-12-14,84
2018-12-15,90
2018-12-16,90
2018-12-17,83
2018-12-18,84
2018-12-19,83
2018-12-20,80
2018-12-21,86
2018-12-22,85
2018-12-23,85
2018-12-24,84
2018-12-25,90
2018-12-26,93
2018-12-27,86
2018-12-28,86
2018-12-29,92
2018-12-30,81
2018-12-31,80
2019-01-01,76
