Date,Gold,Gold Price,SMA_30,SMA_50,EMA_20,MACD,MACD_signal,RSI,BB_middle,BB_upper,BB_lower
2020-01-02,87,1538.715,,,1538.715,0.0,0.0,,,,
2020-01-03,87,1551.515,,,1539.9340476190475,1.0210826210825417,0.20421652421650835,,,,
2020-01-06,91,1559.165,,,1541.765566893424,2.419696268698999,0.6473124731130065,,,,
2020-01-07,86,1593.105,,,1546.6550367130978,6.19536569325669,1.7569231171417434,,,,
2020-01-08,88,1558.325,,,1547.766461788041,6.308435861291855,2.667225665971766,,,,
2020-01-09,82,1547.035,,,1547.6967987606085,5.424505812187817,3.2186816952149764,,,,
2020-01-10,81,1561.785,,,1549.0385322119791,5.846788471012815,3.744303050374544,,,,
2020-01-13,82,1538.875,,,1548.0705767632192,4.283428292359986,3.8521280987716326,,,,
2020-01-14,80,1551.965,,,1548.441474214341,4.053975978117933,3.892497674640893,,,,
2020-01-15,84,1555.735,,,1549.1360957177371,4.128747230741965,3.9397475858611077,,,,
2020-01-16,84,1555.588,,,1549.7505627922383,4.1285509502536115,3.9775082587396087,,,,
2020-01-17,79,1556.945,,,1550.4357472882157,4.189598867816812,4.01992638055505,,,,
2020-01-21,79,1552.935,,,1550.6737713560046,3.8697976765308795,3.989900639750216,,,,
2020-01-22,77,1558.795,,,1551.4472217030518,4.042605316673871,4.000441575134947,56.03532226456837,,,
2020-01-23,77,1559.675,,,1552.2308196360946,4.2021257718665765,4.040778414481273,56.26666826123875,,,
2020-01-24,80,1571.455,,,1554.0616939564666,5.218933812010619,4.276409493987142,55.9982913593319,,,
2020-01-27,80,1579.555,,,1556.4896278653746,6.602257104864066,4.741579016162527,56.11709787356601,,,
2020-01-28,78,1565.385,,,1557.3368061639103,6.480447637955876,5.089352740521197,40.56462483151115,,,
2020-01-29,79,1578.938,,,1559.3940627197285,7.39231261245277,5.549944714907512,58.20143713146651,,,
2020-01-30,79,1571.655,,,1560.5617710321353,7.441513802016516,5.928258532329313,60.118362650008144,1560.3573000000001,1587.2669045158602,1533.44769548414
2020-01-31,82,1589.325,,,1563.3011261719319,8.804830816039157,6.503572989071282,61.05313854551287,1562.8878,1590.730486883349,1535.045113116651
2020-02-03,77,1575.105,,,1564.4253046317478,8.638257755048016,6.930509942266629,65.63120200189832,1564.0673000000002,1591.8800848383287,1536.2545151616716
2020-02-04,82,1557.155,,,1563.7328946668194,6.977401279854803,6.9398882097842645,52.149068322981385,1563.9668,1591.868554682419,1536.0650453175808
2020-02-05,77,1553.068,,,1562.7171904128365,5.270617417183757,6.606034051264163,48.89854378154249,1561.96495,1586.6205297760819,1537.3093702239182
2020-02-06,80,1565.688,,,1563.000124659233,4.8800532237271455,6.26083788575676,53.78163846038644,1562.3331,1586.979717548651,1537.686482451349
2020-02-07,79,1570.198,,,1563.685636596449,4.87821457388236,5.98431322338188,54.84772446284744,1563.49125,1587.27277048501,1539.7097295149902
2020-02-10,83,1568.705,,,1564.1636712063112,4.702082132278974,5.7278670051613,55.87660982590027,1563.83725,1587.715409956218,1539.959090043782
2020-02-11,78,1567.135,,,1564.4466549009483,4.385259482791525,5.459345500687345,53.210507675961956,1565.25025,1586.0557190874147,1544.4447809125854
2020-02-12,78,1573.708,,,1565.3286877675246,4.611404022562965,5.289757205062469,55.17521150030611,1566.3374,1586.4817140667794,1546.1930859332203
2020-02-13,79,1574.595,1563.3942666666667,,1566.211193694427,4.8067890150043695,5.193163567050849,51.25916301749999,1567.2804,1587.0980459954255,1547.4627540045747
2020-02-14,78,1583.648,1564.8920333333335,,1567.8718419140055,5.627266840820084,5.279984221804696,51.6288732002005,1568.6834,1588.9828872779428,1548.383912722057
2020-02-18,82,1601.805,1566.5683666666666,,1571.1035712555288,7.6543846036008745,5.754864298163932,64.04810763272795,1570.9263999999998,1595.274567529881,1546.5782324701186
2020-02-19,80,1609.465,1568.2450333333334,,1574.7570406597642,9.76640695787546,6.557172830106238,62.33583603404093,1573.7529,1602.103001330182,1545.402798669818
2020-02-20,84,1625.995,1569.3413666666668,,1579.6368463112153,12.628459720251612,7.771430208135314,70.43164385621891,1577.1129,1612.9411905149138,1541.2846094850863
2020-02-21,88,1643.148,1572.1688000000001,,1585.685527614909,16.095225164047633,9.436189199317779,70.31623925171549,1581.28655,1626.7214829897048,1535.8516170102953
2020-02-24,100,1655.535,1575.7854666666667,,1592.337858318251,19.616067318998148,11.472164823253854,80.78542448135951,1585.49055,1641.4384261686175,1529.5426738313824
2020-02-25,92,1641.465,1578.4414666666669,,1597.0166337165128,21.028623795737303,13.383456617750545,83.25838264299789,1588.58605,1649.7580231506788,1527.414076849321
2020-02-26,85,1652.258,1582.2209,,1602.2777162197021,22.756665208615914,15.25809833592362,87.16206090396821,1592.9297000000001,1659.2828723117414,1526.576527688259
2020-02-27,88,1638.795,1585.1152333333334,,1605.7555527702068,22.777237082425472,16.76192608522399,77.21799864481483,1595.92255,1664.9637224041305,1526.8813775958695
2020-02-28,94,1585.435,1586.1052333333332,,1603.8202620301872,18.27714681737666,17.064970231654524,54.159727871842,1596.61155,1664.9039967811627,1528.3191032188374
2020-03-02,86,1600.058,1587.5875666666666,,1603.4619513606456,15.70965562034553,16.793907309392726,57.98684525598765,1597.1482,1665.3682020170043,1528.928197982996
2020-03-03,81,1643.018,1590.4566666666667,,1607.2291940882033,16.94606957571591,16.824339762657363,65.96400876849734,1600.54385,1670.8722201301862,1530.2154798698139
2020-03-04,83,1639.648,1593.3471,,1610.3166994131363,17.452820457265943,16.95003590157908,64.06174029496808,1604.6685,1673.9507842169326,1535.3862157830674
2020-03-05,84,1678.358,1597.3325333333335,,1616.796823278552,20.73893216836882,17.70781515493703,69.05383618141013,1610.933,1683.164816010748,1538.701183989252
2020-03-06,88,1673.548,1601.1282999999999,,1622.2016972520232,22.693476304778642,18.704947384905353,66.76950971101972,1616.326,1690.4164946385802,1542.2355053614199
2020-03-09,100,1666.585,1604.2993,,1626.4286784661163,23.410746197352864,19.646107147394854,62.61037484621491,1621.14535,1695.141521506298,1547.149178493702
2020-03-10,83,1658.785,1606.9403,,1629.5102328979146,23.083698435724727,20.33362540506083,59.595629435935756,1625.6493500000001,1697.1289624964463,1554.169737503554
2020-03-11,79,1636.898,1609.3240666666668,,1630.2138297647798,20.818430834042147,20.430586490857095,52.077957224917945,1629.1375,1695.197441560278,1563.077558439722
2020-03-12,85,1559.975,1608.6919666666665,,1623.5244174062293,12.67009375769203,18.878487944224084,37.089709082668236,1628.45085,1697.1687211093408,1559.732978890659
