Date,ETF_Price,Search_Interest
2018-02-01,128.07000732421875,72
2018-03-01,124.72000122070312,61
2018-05-01,123.70999908447266,61
2018-06-01,122.48999786376953,59
2018-08-01,115.13999938964844,67
2018-10-01,112.56999969482422,62
2018-11-01,116.62999725341797,65
2019-02-01,124.5,66
2019-03-01,121.87999725341797,64
2019-04-01,121.52999877929688,65
2019-05-01,120.4000015258789,62
2019-07-01,130.6199951171875,69
2019-08-01,136.41000366210938,76
2019-10-01,139.6300048828125,72
2019-11-01,142.55999755859375,76
2020-04-01,149.4499969482422,67
2020-05-01,159.77999877929688,72
2020-06-01,163.66000366210938,74
2020-07-01,166.6199951171875,82
2020-09-01,185.0500030517578,84
2020-10-01,178.6999969482422,82
2020-12-01,170.17999267578125,90
2021-02-01,174.22999572753906,99
2021-03-01,161.52999877929688,100
2021-04-01,161.97999572753906,82
2021-06-01,177.89999389648438,79
2021-07-01,166.1999969482422,90
2021-09-01,169.6999969482422,75
2021-10-01,164.58999633789062,79
2021-11-01,167.52000427246094,80
2021-12-01,166.16000366210938,80
2022-02-01,168.22999572753906,84
2022-03-01,181.6199951171875,88
2022-04-01,179.5,82
2022-06-01,172.22999572753906,75
2022-07-01,168.32000732421875,73
2022-08-01,165.02999877929688,79
2022-09-01,157.8699951171875,82
2022-11-01,153.4600067138672,74
2022-12-01,167.83999633789062,82
2023-02-01,181.6699981689453,87
2023-03-01,170.75999450683594,84
2023-05-01,183.97000122070312,81
2023-06-01,183.75999450683594,80
2023-08-01,180.4600067138672,80
2023-09-01,180.11000061035156,82
2023-11-01,183.50999450683594,79
2023-12-01,192.00999450683594,85
