index,Date,Gold
0,2018-01-01,83
1,2018-01-02,88
2,2018-01-03,89
3,2018-01-04,84
4,2018-01-05,88
5,2018-01-06,96
6,2018-01-07,91
7,2018-01-08,85
8,2018-01-09,83
9,2018-01-10,87
10,2018-01-11,80
11,2018-01-12,81
12,2018-01-13,92
13,2018-01-14,87
14,2018-01-15,83
15,2018-01-16,81
16,2018-01-17,79
17,2018-01-18,81
18,2018-01-19,83
19,2018-01-20,88
20,2018-01-21,85
21,2018-01-22,82
22,2018-01-23,85
23,2018-01-24,83
24,2018-01-25,82
25,2018-01-26,83
26,2018-01-27,88
27,2018-01-28,91
28,2018-01-29,86
29,2018-01-30,79
30,2018-01-31,82
31,2018-02-01,80
32,2018-02-02,85
33,2018-02-03,89
34,2018-02-04,86
35,2018-02-05,80
36,2018-02-06,87
37,2018-02-07,82
38,2018-02-08,84
39,2018-02-09,88
40,2018-02-10,97
41,2018-02-11,99
42,2018-02-12,99
43,2018-02-13,98
44,2018-02-14,98
45,2018-02-15,95
46,2018-02-16,90
47,2018-02-17,94
48,2018-02-18,87
49,2018-02-19,87
50,2018-02-20,92
51,2018-02-21,90
52,2018-02-22,98
53,2018-02-23,94
54,2018-02-24,100
55,2018-02-25,97
56,2018-02-26,88
57,2018-02-27,83
58,2018-02-28,78
59,2018-03-01,80
60,2018-03-02,78
61,2018-03-03,85
62,2018-03-04,83
63,2018-03-05,77
64,2018-03-06,78
65,2018-03-07,84
66,2018-03-08,77
67,2018-03-09,82
68,2018-03-10,87
69,2018-03-11,83
70,2018-03-12,81
71,2018-03-13,82
72,2018-03-14,81
73,2018-03-15,81
74,2018-03-16,95
75,2018-03-17,89
76,2018-03-18,85
77,2018-03-19,79
78,2018-03-20,79
79,2018-03-21,82
80,2018-03-22,78
81,2018-03-23,81
82,2018-03-24,86
83,2018-03-25,88
84,2018-03-26,83
85,2018-03-27,85
86,2018-03-28,86
87,2018-03-29,85
88,2018-03-30,84
89,2018-03-31,83
90,2018-04-01,83
91,2018-04-02,88
92,2018-04-03,80
93,2018-04-04,86
94,2018-04-05,85
95,2018-04-06,89
96,2018-04-07,87
97,2018-04-08,89
98,2018-04-09,87
99,2018-04-10,83
100,2018-04-11,83
101,2018-04-12,84
102,2018-04-13,90
103,2018-04-14,94
104,2018-04-15,99
105,2018-04-16,82
106,2018-04-17,82
107,2018-04-18,88
108,2018-04-19,81
109,2018-04-20,81
110,2018-04-21,85
111,2018-04-22,85
112,2018-04-23,81
113,2018-04-24,84
114,2018-04-25,77
115,2018-04-26,80
116,2018-04-27,78
117,2018-04-28,83
118,2018-04-29,79
119,2018-04-30,81
120,2018-05-01,82
121,2018-05-02,78
122,2018-05-03,76
123,2018-05-04,78
124,2018-05-05,82
125,2018-05-06,72
126,2018-05-07,75
127,2018-05-08,76
128,2018-05-09,75
129,2018-05-10,82
130,2018-05-11,79
131,2018-05-12,82
132,2018-05-13,78
133,2018-05-14,75
134,2018-05-15,76
135,2018-05-16,85
136,2018-05-17,90
137,2018-05-18,88
138,2018-05-19,87
139,2018-05-20,86
140,2018-05-21,85
141,2018-05-22,83
142,2018-05-23,81
143,2018-05-24,79
144,2018-05-25,81
145,2018-05-26,84
146,2018-05-27,81
147,2018-05-28,78
148,2018-05-29,80
149,2018-05-30,83
150,2018-05-31,79
151,2018-06-01,72
152,2018-06-02,79
153,2018-06-03,74
154,2018-06-04,73
155,2018-06-05,72
156,2018-06-06,71
157,2018-06-07,72
158,2018-06-08,70
159,2018-06-09,77
160,2018-06-10,73
161,2018-06-11,72
162,2018-06-12,72
163,2018-06-13,71
164,2018-06-14,70
165,2018-06-15,68
166,2018-06-16,72
167,2018-06-17,72
168,2018-06-18,71
169,2018-06-19,70
170,2018-06-20,70
171,2018-06-21,69
172,2018-06-22,69
173,2018-06-23,74
174,2018-06-24,69
175,2018-06-25,73
176,2018-06-26,79
177,2018-06-27,69
178,2018-06-28,75
179,2018-06-29,74
180,2018-06-30,72
181,2018-07-01,77
182,2018-07-02,68
183,2018-07-03,71
184,2018-07-04,73
185,2018-07-05,71
186,2018-07-06,70
187,2018-07-07,72
188,2018-07-08,79
189,2018-07-09,72
190,2018-07-10,70
191,2018-07-11,68
192,2018-07-12,72
193,2018-07-13,72
194,2018-07-14,80
195,2018-07-15,79
196,2018-07-16,75
197,2018-07-17,77
198,2018-07-18,77
199,2018-07-19,82
200,2018-07-20,77
201,2018-07-21,82
202,2018-07-22,88
203,2018-07-23,79
204,2018-07-24,78
205,2018-07-25,76
206,2018-07-26,77
207,2018-07-27,78
208,2018-07-28,80
209,2018-07-29,82
210,2018-07-30,76
211,2018-07-31,77
212,2018-08-01,76
213,2018-08-02,80
214,2018-08-03,79
215,2018-08-04,82
216,2018-08-05,79
217,2018-08-06,80
218,2018-08-07,81
219,2018-08-08,76
220,2018-08-09,74
221,2018-08-10,75
222,2018-08-11,81
223,2018-08-12,82
224,2018-08-13,79
225,2018-08-14,82
226,2018-08-15,100
227,2018-08-16,98
228,2018-08-17,97
229,2018-08-18,98
230,2018-08-19,94
231,2018-08-20,86
232,2018-08-21,81
233,2018-08-22,86
234,2018-08-23,80
235,2018-08-24,83
236,2018-08-25,88
237,2018-08-26,82
238,2018-08-27,81
239,2018-08-28,79
240,2018-08-29,80
241,2018-08-30,78
242,2018-08-31,78
243,2018-09-01,84
244,2018-09-02,82
245,2018-09-03,78
246,2018-09-04,74
247,2018-09-05,74
248,2018-09-06,72
249,2018-09-07,75
250,2018-09-08,79
251,2018-09-09,79
252,2018-09-10,73
253,2018-09-11,72
254,2018-09-12,70
255,2018-09-13,73
256,2018-09-14,72
257,2018-09-15,80
258,2018-09-16,83
259,2018-09-17,75
260,2018-09-18,69
261,2018-09-19,72
262,2018-09-20,75
263,2018-09-21,74
264,2018-09-22,76
265,2018-09-23,75
266,2018-09-24,73
267,2018-09-25,72
268,2018-09-26,72
269,2018-09-27,71
270,2018-09-28,74
271,2018-09-29,77
272,2018-09-30,77
273,2018-10-01,71
274,2018-10-02,74
275,2018-10-03,75
276,2018-10-04,75
277,2018-10-05,76
278,2018-10-06,76
279,2018-10-07,72
280,2018-10-08,74
281,2018-10-09,74
282,2018-10-10,80
283,2018-10-11,79
284,2018-10-12,78
285,2018-10-13,79
286,2018-10-14,80
287,2018-10-15,76
288,2018-10-16,77
289,2018-10-17,71
290,2018-10-18,74
291,2018-10-19,67
292,2018-10-20,81
293,2018-10-21,77
294,2018-10-22,73
295,2018-10-23,72
296,2018-10-24,70
297,2018-10-25,74
298,2018-10-26,78
299,2018-10-27,80
300,2018-10-28,86
301,2018-10-29,76
302,2018-10-30,78
303,2018-10-31,74
304,2018-11-01,75
305,2018-11-02,78
306,2018-11-03,84
307,2018-11-04,81
308,2018-11-05,92
309,2018-11-06,74
310,2018-11-07,72
311,2018-11-08,77
312,2018-11-09,78
313,2018-11-10,82
314,2018-11-11,81
315,2018-11-12,79
316,2018-11-13,79
317,2018-11-14,77
318,2018-11-15,77
319,2018-11-16,77
320,2018-11-17,81
321,2018-11-18,83
322,2018-11-19,79
323,2018-11-20,78
324,2018-11-21,78
325,2018-11-22,81
326,2018-11-23,88
327,2018-11-24,91
328,2018-11-25,83
329,2018-11-26,79
330,2018-11-27,85
331,2018-11-28,80
332,2018-11-29,85
333,2018-11-30,83
334,2018-12-01,87
335,2018-12-02,81
336,2018-12-03,84
337,2018-12-04,81
338,2018-12-05,81
339,2018-12-06,78
340,2018-12-07,79
341,2018-12-08,87
342,2018-12-09,84
343,2018-12-10,83
344,2018-12-11,80
345,2018-12-12,81
346,2018-12-13,81
347,2018-12-14,81
348,2018-12-15,86
349,2018-12-16,78
350,2018-12-17,83
351,2018-12-18,83
352,2018-12-19,80
353,2018-12-20,84
354,2018-12-21,84
