Date,Gold Price,Gold,Signal,Action
2020-01-02,1538.715,87,1,Buy
2020-01-03,1551.515,87,0,Hold
2020-01-06,1559.165,91,0,Hold
2020-01-07,1593.105,86,0,Hold
2020-01-08,1558.325,88,0,Hold
2020-01-09,1547.035,82,0,Hold
2020-01-10,1561.785,81,0,Hold
2020-01-13,1538.875,82,0,Hold
2020-01-14,1551.965,80,0,Hold
2020-01-15,1555.735,84,0,Hold
2020-01-16,1555.588,84,0,Hold
2020-01-17,1556.945,79,0,Hold
2020-01-21,1552.935,79,0,Hold
2020-01-22,1558.795,77,0,Hold
2020-01-23,1559.675,77,0,Hold
2020-01-24,1571.455,80,0,Hold
2020-01-27,1579.555,80,0,Hold
2020-01-28,1565.385,78,0,Hold
2020-01-29,1578.938,79,0,Hold
2020-01-30,1571.655,79,0,Hold
2020-01-31,1589.325,82,0,Hold
2020-02-03,1575.105,77,0,Hold
2020-02-04,1557.155,82,0,Hold
2020-02-05,1553.068,77,0,Hold
2020-02-06,1565.688,80,0,Hold
2020-02-07,1570.198,79,0,Hold
2020-02-10,1568.705,83,0,Hold
2020-02-11,1567.135,78,0,Hold
2020-02-12,1573.708,78,0,Hold
2020-02-13,1574.595,79,0,Hold
2020-02-14,1583.648,78,0,Hold
2020-02-18,1601.805,82,0,Hold
2020-02-19,1609.465,80,0,Hold
2020-02-20,1625.995,84,0,Hold
2020-02-21,1643.148,88,0,Hold
2020-02-24,1655.535,100,0,Hold
2020-02-25,1641.465,92,0,Hold
2020-02-26,1652.258,85,0,Hold
2020-02-27,1638.795,88,0,Hold
2020-02-28,1585.435,94,0,Hold
2020-03-02,1600.058,86,0,Hold
2020-03-03,1643.018,81,0,Hold
2020-03-04,1639.648,83,0,Hold
2020-03-05,1678.358,84,0,Hold
2020-03-06,1673.548,88,0,Hold
2020-03-09,1666.585,100,0,Hold
2020-03-10,1658.785,83,0,Hold
2020-03-11,1636.898,79,0,Hold
2020-03-12,1559.975,85,0,Hold
2020-03-13,1529.348,88,0,Hold
2020-03-16,1500.768,87,0,Hold
2020-03-17,1532.278,82,0,Hold
2020-03-18,1469.278,82,0,Hold
2020-03-19,1483.678,79,0,Hold
2020-03-20,1498.698,76,0,Hold
2020-03-23,1571.548,75,0,Hold
2020-03-24,1614.798,84,0,Hold
2020-03-25,1605.035,80,0,Hold
2020-03-26,1624.998,80,0,Hold
2020-03-27,1626.148,82,0,Hold
2020-03-30,1613.925,78,0,Hold
2020-03-31,1584.328,72,0,Hold
2020-04-01,1585.288,74,0,Hold
2020-04-02,1613.098,71,0,Hold
2020-04-03,1617.048,72,-1,Sell
2020-04-06,1659.578,74,1,Buy
2020-04-07,1648.238,73,0,Hold
2020-04-08,1648.658,74,0,Hold
2020-04-09,1682.148,76,0,Hold
2020-04-10,1682.148,83,0,Hold
2020-04-13,1720.108,77,0,Hold
2020-04-14,1720.698,79,0,Hold
2020-04-15,1714.308,79,0,Hold
2020-04-16,1705.148,82,0,Hold
2020-04-17,1681.998,84,0,Hold
2020-04-20,1688.808,78,0,Hold
2020-04-21,1682.898,83,0,Hold
2020-04-22,1710.048,87,0,Hold
2020-04-23,1723.418,84,0,Hold
2020-04-24,1727.698,82,0,Hold
2020-04-27,1698.178,85,0,Hold
2020-04-28,1710.068,81,0,Hold
2020-04-29,1712.458,84,0,Hold
2020-04-30,1688.073,82,0,Hold
2020-05-01,1698.818,90,0,Hold
2020-05-04,1698.198,82,0,Hold
2020-05-05,1702.315,85,0,Hold
2020-05-06,1691.688,80,0,Hold
2020-05-07,1715.448,83,0,Hold
2020-05-08,1701.408,82,0,Hold
2020-05-11,1700.375,82,0,Hold
2020-05-12,1702.808,86,0,Hold
2020-05-13,1713.428,86,0,Hold
2020-05-14,1732.058,86,0,Hold
2020-05-15,1741.628,88,0,Hold
