Date,Gold,Gold Price
2020-01-02,87,1538.715
2020-01-03,87,1551.515
2020-01-06,91,1559.165
2020-01-07,86,1593.105
2020-01-08,88,1558.325
2020-01-09,82,1547.035
2020-01-10,81,1561.785
2020-01-13,82,1538.875
2020-01-14,80,1551.965
2020-01-15,84,1555.735
2020-01-16,84,1555.588
2020-01-17,79,1556.945
2020-01-21,79,1552.935
2020-01-22,77,1558.795
2020-01-23,77,1559.675
2020-01-24,80,1571.455
2020-01-27,80,1579.555
2020-01-28,78,1565.385
2020-01-29,79,1578.938
2020-01-30,79,1571.655
2020-01-31,82,1589.325
2020-02-03,77,1575.105
2020-02-04,82,1557.155
2020-02-05,77,1553.068
2020-02-06,80,1565.688
2020-02-07,79,1570.198
2020-02-10,83,1568.705
2020-02-11,78,1567.135
2020-02-12,78,1573.708
2020-02-13,79,1574.595
2020-02-14,78,1583.648
2020-02-18,82,1601.805
2020-02-19,80,1609.465
2020-02-20,84,1625.995
2020-02-21,88,1643.148
2020-02-24,100,1655.535
2020-02-25,92,1641.465
2020-02-26,85,1652.258
2020-02-27,88,1638.795
2020-02-28,94,1585.435
2020-03-02,86,1600.058
2020-03-03,81,1643.018
2020-03-04,83,1639.648
2020-03-05,84,1678.358
2020-03-06,88,1673.548
2020-03-09,100,1666.585
2020-03-10,83,1658.785
2020-03-11,79,1636.898
2020-03-12,85,1559.975
2020-03-13,88,1529.348
2020-03-16,87,1500.768
2020-03-17,82,1532.278
2020-03-18,82,1469.278
2020-03-19,79,1483.678
2020-03-20,76,1498.698
2020-03-23,75,1571.548
2020-03-24,84,1614.798
2020-03-25,80,1605.035
2020-03-26,80,1624.998
2020-03-27,82,1626.148
2020-03-30,78,1613.925
2020-03-31,72,1584.328
2020-04-01,74,1585.288
2020-04-02,71,1613.098
2020-04-03,72,1617.048
2020-04-06,74,1659.578
2020-04-07,73,1648.238
2020-04-08,74,1648.658
2020-04-09,76,1682.148
2020-04-10,83,1682.148
2020-04-13,77,1720.108
2020-04-14,79,1720.698
2020-04-15,79,1714.308
2020-04-16,82,1705.148
2020-04-17,84,1681.998
2020-04-20,78,1688.808
2020-04-21,83,1682.898
2020-04-22,87,1710.048
2020-04-23,84,1723.418
2020-04-24,82,1727.698
2020-04-27,85,1698.178
2020-04-28,81,1710.068
2020-04-29,84,1712.458
2020-04-30,82,1688.073
2020-05-01,90,1698.818
2020-05-04,82,1698.198
2020-05-05,85,1702.315
2020-05-06,80,1691.688
2020-05-07,83,1715.448
2020-05-08,82,1701.408
2020-05-11,82,1700.375
2020-05-12,86,1702.808
2020-05-13,86,1713.428
2020-05-14,86,1732.058
2020-05-15,88,1741.628
2020-05-18,89,1736.668
2020-05-19,85,1749.188
2020-05-20,87,1741.338
2020-05-21,86,1727.375
2020-05-22,85,1733.648
2020-05-26,81,1708.428
2020-05-27,81,1714.308
2020-05-28,78,1719.908
2020-05-29,80,1728.695
2020-06-01,70,1739.268
2020-06-02,66,1725.098
2020-06-03,70,1702.938
2020-06-04,68,1708.448
2020-06-05,71,1684.758
2020-06-08,71,1695.255
2020-06-09,74,1715.055
2020-06-10,75,1731.405
2020-06-11,78,1726.045
2020-06-12,70,1729.728
2020-06-15,72,1728.515
2020-06-16,74,1726.325
2020-06-17,75,1725.858
2020-06-18,71,1725.778
2020-06-19,73,1743.268
2020-06-22,72,1751.388
2020-06-23,75,1767.768
2020-06-24,75,1763.695
2020-06-25,74,1760.638
